City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,East London,ZA,59.27,-33.0153,27.9116,Tu Casa
1,Rikitea,PF,76.05,-23.1203,-134.9692,People ThankYou
2,Lorengau,PG,86.04,-2.0226,147.2712,Lorengau Harbourside Hotel
3,Acarau,BR,75.96,-2.8856,-40.12,castelo pizzaria
4,Caravelas,BR,69.01,-17.7125,-39.2481,Pousada dos Navegantes
5,Sulina,RO,57.52,45.1559,29.6536,Hotel Delta Est
7,Port Elizabeth,ZA,50.29,-33.918,25.5701,39 On Nile Guest House
8,Geraldton,AU,70.21,-28.7667,114.6,Broadwater Mariner Resort
9,San Patricio,US,79.84,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Mar Del Plata,AR,54.95,-38.0023,-57.5575,Gran Hotel Mar del Plata
11,Carnarvon,AU,72.68,-24.8667,113.6333,Hospitality Carnarvon
12,New Norfolk,AU,59.92,-42.7826,147.0587,The Shingles Riverside Cottages
13,La Ronge,CA,62.85,55.1001,-105.2842,Northland Motor Hotel
14,Hithadhoo,MV,83.34,-0.6,73.0833,Scoop Guest House
16,Arraial Do Cabo,BR,70.59,-22.9661,-42.0278,Pousada Porto Praia
17,Atuona,PF,79.11,-9.8,-139.0333,Villa Enata
18,Redmond,US,67.89,47.674,-122.1215,Seattle Marriott Redmond
19,Lejanias,CO,67.98,3.5251,-74.0216,Hotel Campestre La Contea
21,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
24,Faanui,PF,81.39,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Fortuna,US,53.92,40.5982,-124.1573,Super 8 by Wyndham Fortuna
26,Paracuru,BR,72.1,-3.41,-39.0306,Hotel Vento Brasil
27,Kapaa,US,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Jalu,LY,65.66,29.0331,21.5482,صاحبة الفخامة
31,Bredasdorp,ZA,53.65,-34.5322,20.0403,Bredasdorp Country Manor
32,Butaritari,KI,82.31,3.0707,172.7902,Isles Sunset Lodge
34,Bengkulu,ID,83.39,-3.8004,102.2655,Grage Hotel Bengkulu
35,Jiaozuo,CN,86.52,35.2397,113.2331,Days Hotel and Suites Jiaozuo
36,Avarua,CK,84.25,-21.2078,-159.775,Paradise Inn
38,Bara,NG,80.1,10.3744,10.7288,
39,Langham,CA,57.04,52.3668,-106.9679,Shady Rest Motel
40,Bluff,NZ,51.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Busselton,AU,60.28,-33.65,115.3333,Observatory Guest House
